Group,Bin_group,product,pre_reading,post_reading,worker_id,age,gender,education,income
T,T,laptop,30,36,A14DAR2DMHRW9Q,18-25,Female,Bachelors,"0 - $100,000"
HC,C,camera,45,48,A14H3LQYPOZ3MZ,36-45,Prefer not to say,Bachelors,"0 - $100,000"
HC,C,headphone,42,47,A14H3LQYPOZ3MZ,36-45,Prefer not to say,Bachelors,"0 - $100,000"
HC,C,laptop,40,40,A14H3LQYPOZ3MZ,36-45,Prefer not to say,Bachelors,"0 - $100,000"
HC,C,camera,24,20,A14LIKKO3A1GDY,46-55,Female,Bachelors,"0 - $100,000"
HC,C,headphone,29,25,A14LIKKO3A1GDY,46-55,Female,Bachelors,"0 - $100,000"
HC,C,laptop,40,40,A14LIKKO3A1GDY,46-55,Female,Bachelors,"0 - $100,000"
T,T,camera,45,45,A14R1R5JSLG344,26-35,Male,Bachelors,"0 - $100,000"
T,T,headphone,45,45,A14R1R5JSLG344,26-35,Male,Bachelors,"0 - $100,000"
T,T,laptop,45,45,A14R1R5JSLG344,26-35,Male,Bachelors,"0 - $100,000"
T,T,camera,50,50,A14Z1JSAR9JEON,56+,Male,Masters,"$200,001 - $300,000"
T,T,headphone,30,50,A14Z1JSAR9JEON,56+,Male,Masters,"$200,001 - $300,000"
T,T,laptop,50,50,A14Z1JSAR9JEON,56+,Male,Masters,"$200,001 - $300,000"
T,T,camera,49,49,A15A618QS7DD79,26-35,Male,Bachelors,"$500,001 - $1,000,000"
T,T,headphone,49,49,A15A618QS7DD79,26-35,Male,Bachelors,"$500,001 - $1,000,000"
T,T,laptop,49,49,A15A618QS7DD79,26-35,Male,Bachelors,"$500,001 - $1,000,000"
T,T,camera,39,43,A15BEEOUVMLFRB,26-35,Female,Bachelors,"0 - $100,000"
T,T,headphone,35,26,A15BEEOUVMLFRB,26-35,Female,Bachelors,"0 - $100,000"
T,T,laptop,40,19,A15BEEOUVMLFRB,26-35,Female,Bachelors,"0 - $100,000"
T,T,camera,30,32,A15F2JTVAJXITI,36-45,Female,Masters,"$200,001 - $300,000"
T,T,headphone,40,40,A15F2JTVAJXITI,36-45,Female,Masters,"$200,001 - $300,000"
T,T,laptop,38,40,A15F2JTVAJXITI,36-45,Female,Masters,"$200,001 - $300,000"
HC,C,camera,46,43,A15UX71CYG3346,18-25,Male,High school/GED,"0 - $100,000"
HC,C,headphone,33,33,A15UX71CYG3346,18-25,Male,High school/GED,"0 - $100,000"
HC,C,laptop,49,49,A15UX71CYG3346,18-25,Male,High school/GED,"0 - $100,000"
T,T,camera,46,50,A15X9KAJB8M54B,56+,Female,Bachelors,"$100,001 - $200,000"
T,T,headphone,45,45,A15X9KAJB8M54B,56+,Female,Bachelors,"$100,001 - $200,000"
T,T,laptop,50,50,A15X9KAJB8M54B,56+,Female,Bachelors,"$100,001 - $200,000"
T,T,camera,41,40,A165OXQ6OK4M5Y,26-35,Female,Bachelors,"0 - $100,000"
T,T,headphone,33,30,A165OXQ6OK4M5Y,26-35,Female,Bachelors,"0 - $100,000"
T,T,laptop,48,48,A165OXQ6OK4M5Y,26-35,Female,Bachelors,"0 - $100,000"
T,T,camera,35,35,A16HADUMCP3OS6,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,headphone,34,33,A16HADUMCP3OS6,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,laptop,33,33,A16HADUMCP3OS6,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,camera,46,46,A16Q72BHJ5HO3F,56+,Female,Bachelors,"0 - $100,000"
T,T,headphone,38,37,A16Q72BHJ5HO3F,56+,Female,Bachelors,"0 - $100,000"
T,T,laptop,41,41,A16Q72BHJ5HO3F,56+,Female,Bachelors,"0 - $100,000"
LC,C,camera,47,49,A16QR0D9MVFMS7,26-35,Male,Bachelors,"0 - $100,000"
LC,C,headphone,47,48,A16QR0D9MVFMS7,26-35,Male,Bachelors,"0 - $100,000"
LC,C,laptop,48,48,A16QR0D9MVFMS7,26-35,Male,Bachelors,"0 - $100,000"
T,T,camera,39,35,A175Y56LRLNX79,18-25,Female,High school/GED,"$100,001 - $200,000"
T,T,headphone,37,40,A175Y56LRLNX79,18-25,Female,High school/GED,"$100,001 - $200,000"
T,T,laptop,38,43,A175Y56LRLNX79,18-25,Female,High school/GED,"$100,001 - $200,000"
T,T,camera,42,43,A179LPB3NPSEF8,26-35,Male,Bachelors,"0 - $100,000"
T,T,headphone,42,43,A179LPB3NPSEF8,26-35,Male,Bachelors,"0 - $100,000"
T,T,laptop,44,41,A179LPB3NPSEF8,26-35,Male,Bachelors,"0 - $100,000"
T,T,camera,38,39,A182N7RLXGSCZG,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,headphone,37,36,A182N7RLXGSCZG,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,laptop,35,39,A182N7RLXGSCZG,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,camera,33,39,A183BXKTSGWVJE,36-45,Male,Bachelors,"0 - $100,000"
T,T,headphone,30,17,A183BXKTSGWVJE,36-45,Male,Bachelors,"0 - $100,000"
T,T,laptop,42,30,A183BXKTSGWVJE,36-45,Male,Bachelors,"0 - $100,000"
LC,C,camera,38,36,A18BBM4JCRJCZ7,26-35,Male,Bachelors,"$300,001 - $500,000"
LC,C,headphone,40,37,A18BBM4JCRJCZ7,26-35,Male,Bachelors,"$300,001 - $500,000"
LC,C,laptop,39,38,A18BBM4JCRJCZ7,26-35,Male,Bachelors,"$300,001 - $500,000"
T,T,camera,41,45,A18GYVN178ZNVG,18-25,Female,Bachelors,"0 - $100,000"
T,T,headphone,50,50,A18GYVN178ZNVG,18-25,Female,Bachelors,"0 - $100,000"
T,T,laptop,41,39,A18GYVN178ZNVG,18-25,Female,Bachelors,"0 - $100,000"
LC,C,camera,40,43,A18ZB5H0DQOOIB,56+,Female,High school/GED,"0 - $100,000"
LC,C,headphone,39,39,A18ZB5H0DQOOIB,56+,Female,High school/GED,"0 - $100,000"
LC,C,laptop,45,45,A18ZB5H0DQOOIB,56+,Female,High school/GED,"0 - $100,000"
LC,C,camera,40,45,A19DCJOBAP83XY,46-55,Male,High school/GED,"0 - $100,000"
LC,C,headphone,42,38,A19DCJOBAP83XY,46-55,Male,High school/GED,"0 - $100,000"
LC,C,laptop,42,37,A19DCJOBAP83XY,46-55,Male,High school/GED,"0 - $100,000"
HC,C,camera,44,43,A19FSND0BO2IUT,46-55,Female,Bachelors,"$300,001 - $500,000"
HC,C,headphone,43,42,A19FSND0BO2IUT,46-55,Female,Bachelors,"$300,001 - $500,000"
HC,C,laptop,41,43,A19FSND0BO2IUT,46-55,Female,Bachelors,"$300,001 - $500,000"
T,T,camera,43,43,A19W7ODDBWMSVK,26-35,Male,Bachelors,"0 - $100,000"
T,T,headphone,47,46,A19W7ODDBWMSVK,26-35,Male,Bachelors,"0 - $100,000"
T,T,laptop,46,46,A19W7ODDBWMSVK,26-35,Male,Bachelors,"0 - $100,000"
LC,C,camera,45,50,A19Z68L0RHQVWL,36-45,Female,High school/GED,"0 - $100,000"
LC,C,headphone,41,50,A19Z68L0RHQVWL,36-45,Female,High school/GED,"0 - $100,000"
LC,C,laptop,41,50,A19Z68L0RHQVWL,36-45,Female,High school/GED,"0 - $100,000"
HC,C,camera,43,41,A19ZKK53450WS9,26-35,Male,High school/GED,"0 - $100,000"
HC,C,headphone,41,38,A19ZKK53450WS9,26-35,Male,High school/GED,"0 - $100,000"
HC,C,laptop,50,50,A19ZKK53450WS9,26-35,Male,High school/GED,"0 - $100,000"
T,T,camera,40,41,A1A3IZ30V2JU65,46-55,Male,Bachelors,"0 - $100,000"
T,T,headphone,44,44,A1A3IZ30V2JU65,46-55,Male,Bachelors,"0 - $100,000"
T,T,laptop,45,43,A1A3IZ30V2JU65,46-55,Male,Bachelors,"0 - $100,000"
T,T,camera,39,41,A1A7202QGWT4YZ,26-35,Female,Bachelors,"0 - $100,000"
T,T,headphone,38,40,A1A7202QGWT4YZ,26-35,Female,Bachelors,"0 - $100,000"
T,T,laptop,40,39,A1A7202QGWT4YZ,26-35,Female,Bachelors,"0 - $100,000"
T,T,camera,46,45,A1ANS0LT8M32JD,36-45,Male,Bachelors,"$500,001 - $1,000,000"
T,T,headphone,46,43,A1ANS0LT8M32JD,36-45,Male,Bachelors,"$500,001 - $1,000,000"
T,T,laptop,49,46,A1ANS0LT8M32JD,36-45,Male,Bachelors,"$500,001 - $1,000,000"
T,T,camera,45,46,A1AOO6F7NAT9YB,46-55,Male,Bachelors,"$100,001 - $200,000"
T,T,headphone,48,48,A1AOO6F7NAT9YB,46-55,Male,Bachelors,"$100,001 - $200,000"
T,T,laptop,49,47,A1AOO6F7NAT9YB,46-55,Male,Bachelors,"$100,001 - $200,000"
LC,C,camera,47,50,A1APUWC5IMC5NV,36-45,Non-binary,Bachelors,"0 - $100,000"
LC,C,headphone,34,50,A1APUWC5IMC5NV,36-45,Non-binary,Bachelors,"0 - $100,000"
LC,C,laptop,40,50,A1APUWC5IMC5NV,36-45,Non-binary,Bachelors,"0 - $100,000"
LC,C,camera,44,44,A1B2NCYZRZVNBV,18-25,Female,High school/GED,"0 - $100,000"
LC,C,headphone,49,50,A1B2NCYZRZVNBV,18-25,Female,High school/GED,"0 - $100,000"
LC,C,laptop,31,30,A1B2NCYZRZVNBV,18-25,Female,High school/GED,"0 - $100,000"
T,T,camera,36,35,A1B71UG788ETJO,26-35,Male,Bachelors,"0 - $100,000"
T,T,headphone,40,38,A1B71UG788ETJO,26-35,Male,Bachelors,"0 - $100,000"
T,T,laptop,39,32,A1B71UG788ETJO,26-35,Male,Bachelors,"0 - $100,000"
HC,C,camera,34,32,A1BDJMFP24FBGL,18-25,Female,High school/GED,"0 - $100,000"
HC,C,headphone,27,20,A1BDJMFP24FBGL,18-25,Female,High school/GED,"0 - $100,000"
HC,C,laptop,25,31,A1BDJMFP24FBGL,18-25,Female,High school/GED,"0 - $100,000"
T,T,camera,46,45,A1BQKP971LFCYL,36-45,Female,High school/GED,"0 - $100,000"
T,T,headphone,47,42,A1BQKP971LFCYL,36-45,Female,High school/GED,"0 - $100,000"
T,T,laptop,41,44,A1BQKP971LFCYL,36-45,Female,High school/GED,"0 - $100,000"
T,T,camera,50,50,A1CFGTNT1UHUQ8,36-45,Male,Bachelors,"$500,001 - $1,000,000"
T,T,headphone,49,50,A1CFGTNT1UHUQ8,36-45,Male,Bachelors,"$500,001 - $1,000,000"
T,T,laptop,50,50,A1CFGTNT1UHUQ8,36-45,Male,Bachelors,"$500,001 - $1,000,000"
T,T,camera,42,44,A1CHC8M7CWC254,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,headphone,43,45,A1CHC8M7CWC254,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,laptop,36,41,A1CHC8M7CWC254,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,camera,44,44,A1CJ2RK525JSMZ,26-35,Female,Bachelors,"$200,001 - $300,000"
T,T,headphone,44,42,A1CJ2RK525JSMZ,26-35,Female,Bachelors,"$200,001 - $300,000"
T,T,laptop,44,43,A1CJ2RK525JSMZ,26-35,Female,Bachelors,"$200,001 - $300,000"
T,T,camera,38,43,A1CK0419TP1UV7,18-25,Female,Bachelors,"0 - $100,000"
T,T,headphone,39,33,A1CK0419TP1UV7,18-25,Female,Bachelors,"0 - $100,000"
T,T,laptop,40,40,A1CK0419TP1UV7,18-25,Female,Bachelors,"0 - $100,000"
HC,C,camera,29,25,A1CP1H7ZHFBIFQ,26-35,Male,Bachelors,"0 - $100,000"
HC,C,headphone,38,37,A1CP1H7ZHFBIFQ,26-35,Male,Bachelors,"0 - $100,000"
HC,C,laptop,35,35,A1CP1H7ZHFBIFQ,26-35,Male,Bachelors,"0 - $100,000"
HC,C,camera,37,36,A1CRE2Z623JZ6V,26-35,Female,Doctorate,"0 - $100,000"
HC,C,headphone,32,37,A1CRE2Z623JZ6V,26-35,Female,Doctorate,"0 - $100,000"
HC,C,laptop,32,35,A1CRE2Z623JZ6V,26-35,Female,Doctorate,"0 - $100,000"
HC,C,camera,32,34,A1CSWN23S8BHQY,56+,Female,High school/GED,"0 - $100,000"
HC,C,headphone,32,32,A1CSWN23S8BHQY,56+,Female,High school/GED,"0 - $100,000"
HC,C,laptop,33,31,A1CSWN23S8BHQY,56+,Female,High school/GED,"0 - $100,000"
T,T,camera,40,39,A1CVAA9NN0IT5G,26-35,Male,Bachelors,"$500,001 - $1,000,000"
T,T,headphone,42,38,A1CVAA9NN0IT5G,26-35,Male,Bachelors,"$500,001 - $1,000,000"
T,T,laptop,43,44,A1CVAA9NN0IT5G,26-35,Male,Bachelors,"$500,001 - $1,000,000"
T,T,camera,41,39,A1CVUR9DG19T4U,46-55,Male,Bachelors,"0 - $100,000"
T,T,headphone,45,44,A1CVUR9DG19T4U,46-55,Male,Bachelors,"0 - $100,000"
T,T,laptop,41,44,A1CVUR9DG19T4U,46-55,Male,Bachelors,"0 - $100,000"
T,T,camera,42,38,A1D2O6O6F1KZEP,26-35,Female,Bachelors,"$100,001 - $200,000"
T,T,headphone,40,41,A1D2O6O6F1KZEP,26-35,Female,Bachelors,"$100,001 - $200,000"
T,T,laptop,31,28,A1D2O6O6F1KZEP,26-35,Female,Bachelors,"$100,001 - $200,000"
T,T,camera,50,41,A1D3VP8OFZGCJD,26-35,Female,High school/GED,"0 - $100,000"
T,T,headphone,50,14,A1D3VP8OFZGCJD,26-35,Female,High school/GED,"0 - $100,000"
T,T,laptop,39,11,A1D3VP8OFZGCJD,26-35,Female,High school/GED,"0 - $100,000"
T,T,camera,50,50,A1DSTNJJ60Q23O,36-45,Male,Bachelors,"$100,001 - $200,000"
T,T,headphone,50,50,A1DSTNJJ60Q23O,36-45,Male,Bachelors,"$100,001 - $200,000"
T,T,laptop,37,28,A1DSTNJJ60Q23O,36-45,Male,Bachelors,"$100,001 - $200,000"
HC,C,camera,41,40,A1DTBWU9CGRQ6Z,46-55,Male,Bachelors,"$500,001 - $1,000,000"
HC,C,headphone,41,44,A1DTBWU9CGRQ6Z,46-55,Male,Bachelors,"$500,001 - $1,000,000"
HC,C,laptop,45,44,A1DTBWU9CGRQ6Z,46-55,Male,Bachelors,"$500,001 - $1,000,000"
T,T,camera,47,49,A1DUH3RLI00YQM,56+,Male,Bachelors,"0 - $100,000"
T,T,headphone,47,48,A1DUH3RLI00YQM,56+,Male,Bachelors,"0 - $100,000"
T,T,laptop,48,48,A1DUH3RLI00YQM,56+,Male,Bachelors,"0 - $100,000"
T,T,camera,25,25,A1EZYP8F8PST0K,36-45,Male,High school/GED,"0 - $100,000"
T,T,headphone,26,25,A1EZYP8F8PST0K,36-45,Male,High school/GED,"0 - $100,000"
T,T,laptop,25,25,A1EZYP8F8PST0K,36-45,Male,High school/GED,"0 - $100,000"
T,T,camera,48,50,A1F10SQYI8GEUL,26-35,Female,Bachelors,"0 - $100,000"
T,T,headphone,50,50,A1F10SQYI8GEUL,26-35,Female,Bachelors,"0 - $100,000"
T,T,laptop,45,45,A1F10SQYI8GEUL,26-35,Female,Bachelors,"0 - $100,000"
T,T,camera,41,41,A1FBE9JR03MAGO,26-35,Male,High school/GED,Prefer not to say
T,T,headphone,35,24,A1FBE9JR03MAGO,26-35,Male,High school/GED,Prefer not to say
T,T,laptop,50,50,A1FBE9JR03MAGO,26-35,Male,High school/GED,Prefer not to say
LC,C,camera,39,37,A1FIBI3HA1WQ8I,56+,Male,Bachelors,"$300,001 - $500,000"
LC,C,headphone,41,39,A1FIBI3HA1WQ8I,56+,Male,Bachelors,"$300,001 - $500,000"
LC,C,laptop,43,36,A1FIBI3HA1WQ8I,56+,Male,Bachelors,"$300,001 - $500,000"
T,T,camera,44,44,A1FK9ABTK98JW4,36-45,Female,Bachelors,"0 - $100,000"
T,T,headphone,46,41,A1FK9ABTK98JW4,36-45,Female,Bachelors,"0 - $100,000"
T,T,laptop,40,37,A1FK9ABTK98JW4,36-45,Female,Bachelors,"0 - $100,000"
T,T,camera,30,35,A1FN47KACHQ5W,26-35,Male,High school/GED,"0 - $100,000"
T,T,headphone,38,35,A1FN47KACHQ5W,26-35,Male,High school/GED,"0 - $100,000"
T,T,laptop,35,33,A1FN47KACHQ5W,26-35,Male,High school/GED,"0 - $100,000"
HC,C,camera,45,45,A1G4DA61N4XPLL,36-45,Female,Masters,"0 - $100,000"
HC,C,headphone,45,45,A1G4DA61N4XPLL,36-45,Female,Masters,"0 - $100,000"
HC,C,laptop,39,38,A1G4DA61N4XPLL,36-45,Female,Masters,"0 - $100,000"
T,T,camera,40,33,A1GOT0DXTYCM4E,26-35,Male,Bachelors,"$1,000,000+"
T,T,headphone,33,32,A1GOT0DXTYCM4E,26-35,Male,Bachelors,"$1,000,000+"
T,T,laptop,34,11,A1GOT0DXTYCM4E,26-35,Male,Bachelors,"$1,000,000+"
T,T,camera,44,46,A1GV3SF9AKA8BU,46-55,Male,Bachelors,"$100,001 - $200,000"
T,T,headphone,44,47,A1GV3SF9AKA8BU,46-55,Male,Bachelors,"$100,001 - $200,000"
T,T,laptop,46,47,A1GV3SF9AKA8BU,46-55,Male,Bachelors,"$100,001 - $200,000"
T,T,camera,46,50,A1GXW3BYAI02GT,26-35,Female,Bachelors,"$100,001 - $200,000"
T,T,headphone,50,49,A1GXW3BYAI02GT,26-35,Female,Bachelors,"$100,001 - $200,000"
T,T,laptop,43,44,A1GXW3BYAI02GT,26-35,Female,Bachelors,"$100,001 - $200,000"
T,T,camera,34,36,A1H6DME332958N,46-55,Female,Bachelors,"$200,001 - $300,000"
T,T,headphone,31,35,A1H6DME332958N,46-55,Female,Bachelors,"$200,001 - $300,000"
T,T,laptop,34,33,A1H6DME332958N,46-55,Female,Bachelors,"$200,001 - $300,000"
T,T,camera,45,45,A1H6HOJP8FHP54,26-35,Female,Bachelors,"0 - $100,000"
T,T,headphone,47,48,A1H6HOJP8FHP54,26-35,Female,Bachelors,"0 - $100,000"
T,T,laptop,37,39,A1H6HOJP8FHP54,26-35,Female,Bachelors,"0 - $100,000"
HC,C,camera,32,38,A1HBG3ELFXQ4HG,26-35,Female,Doctorate,"0 - $100,000"
HC,C,headphone,30,36,A1HBG3ELFXQ4HG,26-35,Female,Doctorate,"0 - $100,000"
HC,C,laptop,38,45,A1HBG3ELFXQ4HG,26-35,Female,Doctorate,"0 - $100,000"
T,T,camera,45,47,A1HBR039T867GV,56+,Female,High school/GED,"0 - $100,000"
T,T,headphone,40,36,A1HBR039T867GV,56+,Female,High school/GED,"0 - $100,000"
T,T,laptop,46,49,A1HBR039T867GV,56+,Female,High school/GED,"0 - $100,000"
T,T,camera,42,48,A1HBSDSSKXYTEZ,36-45,Male,Masters,"0 - $100,000"
T,T,headphone,43,40,A1HBSDSSKXYTEZ,36-45,Male,Masters,"0 - $100,000"
T,T,laptop,43,42,A1HBSDSSKXYTEZ,36-45,Male,Masters,"0 - $100,000"
LC,C,camera,46,47,A1HM81XU6D63AT,56+,Male,Masters,"$300,001 - $500,000"
LC,C,headphone,42,44,A1HM81XU6D63AT,56+,Male,Masters,"$300,001 - $500,000"
LC,C,laptop,36,34,A1HM81XU6D63AT,56+,Male,Masters,"$300,001 - $500,000"
T,T,camera,37,42,A1HYNGG8LZUV47,26-35,Male,High school/GED,"0 - $100,000"
T,T,headphone,33,42,A1HYNGG8LZUV47,26-35,Male,High school/GED,"0 - $100,000"
T,T,laptop,38,48,A1HYNGG8LZUV47,26-35,Male,High school/GED,"0 - $100,000"
T,T,camera,47,49,A1I65ZF7VMMECT,56+,Female,Bachelors,"$100,001 - $200,000"
T,T,headphone,39,37,A1I65ZF7VMMECT,56+,Female,Bachelors,"$100,001 - $200,000"
T,T,laptop,48,46,A1I65ZF7VMMECT,56+,Female,Bachelors,"$100,001 - $200,000"
T,T,camera,30,30,A1IA1UVGWONNDS,36-45,Male,Bachelors,Prefer not to say
T,T,headphone,33,33,A1IA1UVGWONNDS,36-45,Male,Bachelors,Prefer not to say
T,T,laptop,35,34,A1IA1UVGWONNDS,36-45,Male,Bachelors,Prefer not to say
T,T,camera,49,49,A1IC1DQ0QQBOOZ,26-35,Male,Bachelors,"$500,001 - $1,000,000"
T,T,headphone,50,49,A1IC1DQ0QQBOOZ,26-35,Male,Bachelors,"$500,001 - $1,000,000"
T,T,laptop,49,50,A1IC1DQ0QQBOOZ,26-35,Male,Bachelors,"$500,001 - $1,000,000"
LC,C,camera,45,43,A1ITEGLA8ZQ8TL,36-45,Female,Masters,Prefer not to say
LC,C,headphone,43,44,A1ITEGLA8ZQ8TL,36-45,Female,Masters,Prefer not to say
